DEPARR;ARR;NBCOM;PMUN;PTOT;
011;Belley;105;121004;123918;
012;Bourg-en-Bresse;199;333734;342049;
013;Gex;27;95070;97175;
014;Nantua;62;93542;96038;
021;Château-Thierry;108;70059;71605;
022;Laon;240;156706;160163;
023;Saint-Quentin;126;128154;130884;
024;Soissons;166;107930;110469;
025;Vervins;160;71641;73406;
031;Montluçon;89;107615;110462;
032;Moulins;109;106036;109162;
033;Vichy;119;124337;127411;
041;Barcelonnette;14;7864;8207;
042;Castellane;41;11472;11700;
043;Digne-les-Bains;46;47620;49212;
044;Forcalquier;97;96959;99262;
051;Briançon;36;34898;35898;
052;Gap;126;106386;109985;
061;Grasse;62;562936;571430;
062;Nice;101;520374;526066;
071;Largentière;151;101751;104697;
072;Privas;66;85005;87132;
073;Tournon-sur-Rhône;118;138956;142859;
081;Charleville-Mézières;157;157058;160763;
082;Rethel;101;37413;38215;
083;Sedan;73;57356;58648;
084;Vouziers;118;21752;22406;
091;Foix;115;47448;48743;
092;Pamiers;91;65028;66721;
093;Saint-Girons;121;40677;41746;
101;Bar-sur-Aube;108;28469;29125;
102;Nogent-sur-Seine;79;54062;55116;
103;Troyes;244;227489;232877;
111;Carcassonne;186;160466;165060;
112;Limoux;138;42324;43579;
113;Narbonne;109;167470;170455;
121;Millau;110;79559;82286;
122;Rodez;79;111603;116143;
123;Villefranche-de-Rouergue;96;88044;91059;
131;Aix-en-Provence;48;450801;459789;
132;Arles;29;172085;174893;
134;Istres;21;327881;331495;
133;Marseille;21;1073395;1082327;
141;Bayeux;123;73634;75108;
142;Caen;200;386664;393679;
143;Lisieux;160;161593;165442;
144;Vire;44;72111;74115;
151;Aurillac;93;81896;84805;
152;Mauriac;55;25739;26533;
153;Saint-Flour;98;37508;38847;
161;Angoulême;115;181124;186090;
162;Cognac;110;99736;102231;
163;Confolens;141;71475;73218;
171;Jonzac;129;68019;69876;
172;Rochefort;78;190481;194460;
173;La Rochelle;58;216972;221817;
174;Saintes;88;116443;120025;
175;Saint-Jean-d'Angély;110;52388;53790;
181;Bourges;128;171849;176377;
