DEPCAN;CAN;NBCOM;PMUN;PTOT
0101;Ambérieu-en-Bugey;18;30026;30794
0102;Attignat;18;24684;25200
0103;Bellegarde-sur-Valserine;12;21850;22351
0104;Belley;33;24585;25363
0105;Bourg-en-Bresse-1;2;35386;36643
0106;Bourg-en-Bresse-2;4;25685;26829
0107;Ceyzériat;22;25765;26358
0108;Châtillon-sur-Chalaronne;26;30043;30793
0109;Gex;7;32120;32849
0110;Hauteville-Lompnes;28;22051;22615
0111;Lagnieu;26;33702;34377
0112;Meximieux;15;33110;33606
0113;Miribel;8;28687;29128
0114;Nantua;17;21458;22245
0115;Oyonnax;2;25794;26402
0116;Pont-d'Ain;24;21969;22469
0117;Replonges;31;30994;31633
0118;Saint-Étienne-du-Bois;26;22362;22855
0119;Saint-Genis-Pouilly;4;34953;35659
0120;Thoiry;16;27997;28667
0121;Trévoux;12;33086;34073
0122;Villars-les-Dombes;25;33050;33733
0123;Vonnas;19;23993;24538
0201;Bohain-en-Vermandois;31;22107;22495
0202;Château-Thierry;21;27733;28381
0203;Chauny;21;24309;25010
0204;Essômes-sur-Marne;47;29181;29827
0205;Fère-en-Tardenois;78;27749;28232
0206;Guignicourt;76;26407;26950
0207;Guise;45;23540;23974
0208;Hirson;26;21271;21673
0209;Laon-1;27;25210;25691
0210;Laon-2;25;25659;26363
0211;Marle;65;19833;20297
0212;Ribemont;52;26589;27023
0213;Saint-Quentin-1;25;29154;29804
0214;Saint-Quentin-2;11;22718;23474
0215;Saint-Quentin-3;9;27586;28088
0216;Soissons-1;15;23056;23445
0217;Soissons-2;14;29272;29930
0218;Tergnier;24;29386;29913
0219;Vervins;66;21562;22260
0220;Vic-sur-Aisne;50;21356;21868
0221;Villers-Cotterêts;76;30812;31829
0301;Bellerive-sur-Allier;11;18853;19419
0302;Bourbon-l'Archambault;28;16679;17124
0303;Commentry;24;18424;18945
0304;Cusset;4;17319;17931
0305;Dompierre-sur-Besbre;32;20466;20949
0306;Gannat;41;19821;20305
0307;Huriel;29;16037;16351
0308;Lapalisse;31;18123;18656
0309;Montluçon-1;4;15787;16073
0310;Montluçon-2;2;16361;16912
0311;Montluçon-3;15;18800;19437
0312;Montluçon-4;7;16372;16780
0313;Moulins-1;7;18037;18841
0314;Moulins-2;23;19062;19506
0315;Saint-Pourçain-sur-Sioule;22;19299;19702
0316;Souvigny;29;15052;15380
0317;Vichy-1;4;18296;18590
0318;Vichy-2;3;17707;17987
0319;Yzeure;6;17493;18147
0401;Barcelonnette;14;7864;8207
0402;Castellane;32;9804;10008
0403;Château-Arnoux-Saint-Auban;8;12560;12828
0404;Digne-les-Bains-1;7;11913;12497
0405;Digne-les-Bains-2;7;12202;12645
0406;Forcalquier;15;11281;11490
0407;Manosque-1;3;11894;12124
0408;Manosque-2;3;10225;10508
0409;Manosque-3;3;12117;12573
0410;Oraison;3;13813;14004
0411;Reillanne;21;10844;11042
0412;Riez;26;9415;9686
0413;Seyne;34;8394;8570
0414;Sisteron;15;12889;13314
0415;Valensole;10;8700;8885
0501;L' Argentière-la-Bessée;8;6663;6877
0502;Briançon-1;10;8996;9274
0503;Briançon-2;4;11177;11497
0504;Chorges;17;10779;11027
0505;Embrun;8;10897;11420
0506;Gap-1;1;10336;10647
0507;Gap-2;1;10696;11285
0508;Gap-3;1;10111;10390
0509;Gap-4;1;9752;10165
0510;Guillestre;15;8062;8250
0511;Laragne-Montéglin;11;7801;7981
0512;Saint-Bonnet-en-Champsaur;25;11083;11449
0513;Serres;37;7558;7725
0514;Tallard;19;10493;10770
0515;Veynes;8;6880;7126
0601;Antibes-1;2;37743;38028
0602;Antibes-2;1;30632;30907
0603;Antibes-3;2;35310;36126
0604;Beausoleil;7;33882;34288
0605;Cagnes-sur-Mer-1;1;42593;42953
0606;Cagnes-sur-Mer-2;3;43411;43827
0607;Cannes-1;2;46690;47159
0608;Cannes-2;1;41275;41793
0609;Le Cannet;2;46847;47463
0610;Contes;20;36676;37129
0611;Grasse-1;19;44888;45725
0612;Grasse-2;2;40095;41010
0613;Mandelieu-la-Napoule;5;40476;40998
0614;Menton;6;45941;46685
0615;Nice-1;1;42912;43309
0616;Nice-2;1;47386;47782
0617;Nice-3;4;41126;41553
0618;Nice-4;1;42419;42826
0619;Nice-5;1;46147;46473
0620;Nice-6;1;41841;42427
0621;Nice-7;3;38908;39131
0622;Nice-8;1;38769;38954
0623;Nice-9;1;33843;34149
0624;Tourrette-Levens;28;35667;36549
0625;Valbonne;12;37467;38713
0626;Vence;47;37048;37632
0627;Villeneuve-Loubet;4;33318;33907
0701;Annonay-1;7;19859;20550
0702;Annonay-2;10;16498;16929
0703;Aubenas-1;15;17423;18056
0704;Aubenas-2;15;20728;21566
0712;Berg-Helvie;19;21284;21859
0705;Bourg-Saint-Andéol;9;18895;19300
0716;Les Cévennes Ardéchoises;35;18545;18956
0707;Guilherand-Granges;5;22007;22561
0706;Haut-Eyrieux;44;18029;18611
0708;Haut-Vivarais;31;21431;21874
0713;Haute-Ardèche;40;13986;14286
0709;Le Pouzin;13;16563;16899
0710;Privas;15;20399;21176
0717;Rhône-Eyrieux;17;22502;22942
0711;Sarras;19;15993;16331
0714;Tournon-sur-Rhône;13;20745;21494
0715;Vallon-Pont-d'Arc;30;20825;21298
0801;Attigny;80;12475;12814
0802;Bogny-sur-Meuse;12;15366;15679
0803;Carignan;38;16338;16636
0804;Charleville-Mézières-1;8;15072;15363
0805;Charleville-Mézières-2;6;16421;16749
0806;Charleville-Mézières-3;2;15858;16500
0807;Charleville-Mézières-4;2;14834;15071
0808;Château-Porcien;47;15785;16068
0809;Givet;12;14466;14811
0810;Nouvion-sur-Meuse;32;13997;14325
0811;Rethel;18;14168;14553
0812;Revin;7;12651;12919
0813;Rocroi;33;15600;15925
0814;Sedan-1;10;13662;13934
0815;Sedan-2;8;11115;11388
0816;Sedan-3;8;12450;12840
0817;Signy-l'Abbaye;71;15726;16008
0818;Villers-Semeuse;11;14527;15007
0819;Vouziers;51;13068;13442
0902;Arize-Lèze;27;10783;10941
0903;Couserans Est;37;9450;9654
0904;Couserans Ouest;29;10767;11238
0905;Foix;6;13521;14031
0901;Haute-Ariège;47;6404;6577
0906;Mirepoix;35;13344;13713
0907;Pamiers-1;15;12545;12851
0908;Pamiers-2;8;14871;15305
0909;Pays d'Olmes;23;12369;12671
0910;Portes d'Ariège;16;13668;13989
0911;Portes du Couserans;28;9677;9913
0912;Sabarthès;29;11396;11642
0913;Val d'Ariège;28;14358;14685
1001;Aix-en-Othe;36;18005;18273
1002;Arcis-sur-Aube;47;14661;14976
1003;Bar-sur-Aube;48;13925;14287
1004;Bar-sur-Seine;46;16713;17179
1005;Brienne-le-Château;53;14247;14503
1006;Creney-près-Troyes;33;17492;18068
1007;Nogent-sur-Seine;23;16848;17137
1008;Les Riceys;57;14589;15186
1009;Romilly-sur-Seine;6;18573;18966
1010;Saint-André-les-Vergers;5;23145;23849
1011;Saint-Lyé;33;16285;16612
1012;Troyes-1;1;21013;21358
1013;Troyes-2;3;20768;21311
1014;Troyes-3;2;21134;21591
1015;Troyes-4;4;21491;21841
1016;Troyes-5;1;18523;18873
1017;Vendeuvre-sur-Barse;37;22608;23108
1106;Les Basses Plaines de l'Aude;6;21184;21558
1105;Le Bassin chaurien;22;22571;23414
1102;Carcassonne-1;1;15026;15516
1103;Carcassonne-2;9;21248;21971
1104;Carcassonne-3;7;21343;21779
1107;Les Corbières;54;16162;16431
1117;Les Corbières Méditerranée;11;22945;23285
1115;Le Haut-Minervois;23;15848;16123
1114;La Haute-Vallée de l'Aude;82;17971;18385
1108;Le Lézignanais;10;16864;17117
1110;La Malepère à la Montagne Noire;27;17262;17935
1118;La Montagne d'Alaric;29;16038;16442
1111;Narbonne-1;5;26302;26699
1112;Narbonne-2;3;20882;21391
1113;Narbonne-3;1;18292;18725
1101;La Piège au Razès;72;20099;20585
1109;La Région Limouxine;35;19817;20574
1116;Le Sud-Minervois;18;23602;23993
1119;La Vallée de l'Orbiel;22;16804;17171
1201;Aubrac et Carladez;21;10210;10427
1202;Aveyron et Tarn;17;10634;11002
1203;Causse-Comtal;7;11847;12172
1204;Causses-Rougiers;43;11904;12275
1205;Ceor-Ségala;18;13940;14385
1206;Enne et Alzou;11;13191;13664
1207;Lot et Dourdou;11;13198;13631
1208;Lot et Montbazinois;16;11869;12175
1209;Lot et Palanges;13;10306;10575
1210;Lot et Truyère;14;10013;10262
1211;Millau-1;4;14694;15257
1212;Millau-2;6;14364;14707
1213;Monts du Réquistanais;14;10636;10986
1214;Nord-Lévezou;4;13450;13817
1215;Raspes et Lévezou;22;10954;11220
1216;Rodez-1;1;11876;12864
1217;Rodez-2;2;12384;13265
1218;Rodez-Onet;2;13961;14589
1219;Saint-Affrique;11;12693;13465
1220;Tarn et Causses;18;10356;10688
1221;Vallon;10;12628;13013
1222;Villefranche-de-Rouergue;3;13285;13961
1223;Villeneuvois et Villefranchois;20;10813;11088
1301;Aix-en-Provence-1;1;73146;75217
1302;Aix-en-Provence-2;1;69336;70459
1303;Allauch;10;70876;71775
1304;Arles;3;63327;64203
1305;Aubagne;3;61648;62261
1306;Berre-l'Étang;9;70990;71898
1307;Châteaurenard;15;72942;74091
1308;La Ciotat;7;70777;71691
1309;Gardanne;5;62937;63805
1310;Istres;3;64464;65418
1311;Marignane;7;83099;83902
1312;Marseille-1;1;76108;76556
1321;Marseille-10;1;76607;77248
1322;Marseille-11;1;76608;77173
1323;Marseille-12;1;78826;79550
1313;Marseille-2;1;68060;68326
1314;Marseille-3;1;61878;62139
1315;Marseille-4;1;60806;61041
1316;Marseille-5;1;67716;68210
1317;Marseille-6;1;72716;73198
1318;Marseille-7;1;79983;80802
1319;Marseille-8;1;69141;69674
1320;Marseille-9;1;74861;75898
1324;Martigues;2;64704;65294
1325;Pélissanne;13;58549;59838
1326;Salon-de-Provence-1;15;66212;67349
1327;Salon-de-Provence-2;4;71146;72194
1328;Trets;18;72359;73934
1329;Vitrolles;4;64340;65360
1401;Aunay-sur-Odon;29;25339;25735
1402;Bayeux;34;29090;29792
1403;Bretteville-l'Orgueilleuse;26;27468;28108
1404;Cabourg;34;29674;30198
1405;Caen-1;5;27770;28230
1406;Caen-2;6;30135;30542
1407;Caen-3;2;26405;27388
1408;Caen-4;1;26410;26846
1409;Caen-5;5;27243;27662
1410;Condé-sur-Noireau;9;23903;24506
1411;Courseulles-sur-Mer;21;28453;29095
1412;Évrecy;28;33179;33609
1413;Falaise;57;27350;28001
1414;Hérouville-Saint-Clair;2;29872;30190
1415;Honfleur-Deauville;17;29931;30603
1416;Ifs;4;31499;32053
1417;Lisieux;10;26539;27341
1418;Livarot;12;22316;22902
1419;Mézidon-Canon;39;24269;24760
1420;Ouistreham;11;33858;34447
1421;Pont-l'Évêque;47;28600;29390
1422;Thury-Harcourt;42;24197;24596
1423;Trévières;59;26775;27195
1424;Troarn;23;29911;30320
1425;Vire;9;23816;24835
1501;Arpajon-sur-Cère;15;11550;11855
1502;Aurillac-1;2;10144;10413
1503;Aurillac-2;1;9271;10100
1504;Aurillac-3;1;10377;10711
1505;Mauriac;20;10791;11193
1506;Maurs;18;10957;11340
1507;Murat;22;8123;8344
1508;Naucelles;16;10269;10560
1509;Neuvéglise;27;8352;8574
1510;Riom-ès-Montagnes;23;7845;8073
1511;Saint-Flour-1;24;8806;9122
1512;Saint-Flour-2;18;9742;10252
1513;Saint-Paul-des-Landes;22;8734;8961
1514;Vic-sur-Cère;23;10971;11252
1515;Ydes;19;9211;9435
1601;Angoulême-1;2;18570;19092
1602;Angoulême-2;2;18855;19526
1603;Angoulême-3;2;23012;24056
1604;Boëme-Echelle;13;18072;18383
1605;Boixe-et-Manslois;37;17588;17844
1606;Charente-Bonnieure;32;16912;17459
1607;Charente-Champagne;23;16897;17286
1608;Charente-Nord;46;18432;18888
1609;Charente-Sud;40;19984;20576
1610;Charente-Vienne;27;18543;19027
1611;Cognac-1;8;16451;16893
1612;Cognac-2;7;17864;18303
1613;La Couronne;4;15752;16244
1614;Gond-Pontouvre;4;19772;20258
1615;Jarnac;17;16130;16565
1616;Touvre-et-Braconne;6;18725;19166
1617;Tude-et-Lavalette;50;17941;18323
1618;Val de Nouère;23;21019;21410
1619;Val de Tardoire;27;21816;22240
1701;Aytré;4;28817;29417
1702;Chaniers;26;22501;22957
1703;Châtelaillon-Plage;8;21067;21478
1704;L' Île d'Oléron;8;22203;22593
1705;L' Île de Ré;10;17379;17706
1706;La Jarrie;14;26058;26556
1707;Jonzac;44;20615;21272
1708;Lagord;6;25622;26243
1709;Marans;20;29861;30272
1710;Marennes;13;21669;22100
1711;Matha;63;21246;21663
1712;Pons;39;21449;22125
1713;Rochefort;1;24151;24845
1714;La Rochelle-1;1;26522;26917
1715;La Rochelle-2;1;25089;26109
1716;La Rochelle-3;1;24124;24829
1717;Royan;3;27556;28293
1718;Saint-Jean-d'Angély;40;26768;27683
1719;Saint-Porchaire;20;20435;21011
