DEPCOM;COMP;PMUN;PCAP;PTOT
01015;Arbignieu;507;13;520
01025;Bâgé-la-Ville;3200;77;3277
01033;Bellegarde-sur-Valserine;11675;274;11949
01036;Belmont-Luthézieu;601;6;607
01059;Brénaz;104;0;104
01080;Champdor;447;6;453
01091;Châtillon-en-Michaille;3694;76;3770
01095;Chavannes-sur-Suran;670;7;677
01097;Chavornay;225;9;234
01098;Chazey-Bons;961;32;993
01119;Corcelles;204;8;212
01120;Cordieux;542;8;550
01122;Cormaranche-en-Bugey;822;65;887
01130;Cras-sur-Reyssouze;1471;24;1495
01137;Cuisiat;615;10;625
01144;Dommartin;892;31;923
01154;Étrez;811;21;832
01172;Germagnat;144;4;148
01176;Grand-Abergement;118;4;122
01182;Groslée;360;9;369
01185;Hauteville-Lompnes;3653;104;3757
01186;Hostiaz;87;0;87
01187;Hotonnes;294;9;303
01204;Lalleyriat;248;8;256
01205;Lancrans;1054;31;1085
01215;Lhôpital;50;0;50
01218;Lochieu;87;2;89
01221;Lompnieu;117;1;118
01227;Magnieu;495;12;507
01271;Nattages;586;25;611
01286;Parves;356;13;369
01292;Petit-Abergement;131;3;134
01300;Poizat;472;7;479
01312;Pressiat;250;6;256
01316;Pugieu;151;4;155
01324;Rignat;254;2;256
01338;Saint-Benoît;833;27;860
01340;Saint-Bois;137;4;141
01341;Saint-Champ;149;1;150
01409;Songieu;126;6;132
01413;Surjoux;81;3;84
01414;Sutrieu;208;7;215
01417;Thézillieu;291;9;300
01426;Treffort;1736;37;1773
01442;Vieu;385;4;389
01453;Virieu-le-Petit;297;11;308
02018;Anizy-le-Château;1939;37;1976
02026;Artonges;164;4;168
02053;Baulne-en-Brie;264;1;265
02147;Celle-sous-Montmirail;118;1;119
02153;Cessières;437;10;447
02161;Chapelle-Monthodon;202;4;206
02285;Escaufourt;154;3;157
02300;Fargniers;3282;45;3327
02301;Faucoucourt;322;7;329
02325;Fontenelle-en-Brie;201;3;204
02348;Glennes;211;4;215
02360;Guignicourt;2205;29;2234
02434;Lizy;272;7;279
02439;Longueval-Barbonval;488;8;496
02458;Marchais-en-Brie;335;8;343
02475;Menneville;499;7;506
02479;Merval;131;0;131
02597;Perles;79;3;82
02630;Quessy;2923;26;2949
02646;Révillon;69;3;72
02669;Saint-Agnan;104;0;104
02733;Suzy;326;10;336
02771;Vauxcéré;70;0;70
02811;Villers-en-Prayères;132;2;134
02825;Vouël;2286;46;2332
03123;Givarlais;215;5;220
03153;Louroux-Hodement;354;9;363
03158;Maillet;319;6;325
03168;Meaulne;765;14;779
03318;Vitray;124;1;125
04003;Albiosc;38;0;38
04010;Argens;12;0;12
04011;Astoin;6;0;6
04014;Augès;0;0;0
04029;Blégiers;71;0;71
04033;Bréole;371;11;382
04052;Châteauneuf-lès-Moustiers;56;0;56
04082;Esparron-la-Bâtie;11;0;11
04100;Larche;58;0;58
04105;Lincel;220;5;225
04120;Meyronnes;63;1;64
04131;Montpezat;43;0;43
04153;Poil;3;1;4
04165;Reynier;12;0;12
04198;Saint-Vincent-les-Forts;370;7;377
05001;Abriès;299;8;307
05002;Agnières-en-Dévoluy;291;9;300
05005;Antonaves;144;2;146
05020;Bénévent-et-Charbillac;276;9;285
05024;Bruis;78;3;81
05034;Châteauneuf-de-Chabre;379;7;386
05042;Cluse;55;0;55
05053;Eyguians;243;5;248
05067;Infournas;24;0;24
05069;Lagrand;241;3;244
05088;Montmorin;100;6;106
05101;Pelvoux;460;14;474
05118;Ribiers;826;17;843
05120;Ristolas;86;0;86
05125;Romette;1656;36;1692
05132;Saint-Bonnet-en-Champsaur;1736;60;1796
05138;Saint-Disdier;118;2;120
05139;Saint-Étienne-en-Dévoluy;502;16;518
05143;Saint-Genis;55;1;56
05150;Sainte-Marie;38;0;38
05175;Vallouise;750;26;776
07011;Antraigues-sur-Volane;543;5;548
07016;Asperjoc;404;7;411
07043;Brahic;90;2;92
07046;Casteljau;308;11;319
07057;Chassagnes;190;4;194
07135;Laval-d'Aurelle;38;0;38
07164;Naves;558;21;579
07165;Nonières;215;10;225
07246;Saint-Jean-de-Pourcharesse;54;1;55
