DEPCOMCAN;FRACAN;PMUN;PCAP;PTOT;
0105305;Bourg-en-Bresse-1;28968;1109;30077;
0105306;Bourg-en-Bresse-2;12559;670;13229;
0133804;Belley;833;27;860;
0133811;Lagnieu;360;9;369;
0240809;Laon-1;8747;166;8913;
0240810;Laon-2;16129;507;16636;
0269113;Saint-Quentin-1;19400;418;19818;
0269114;Saint-Quentin-2;18158;597;18755;
0269115;Saint-Quentin-3;16258;267;16525;
0272216;Soissons-1;11087;193;11280;
0272217;Soissons-2;17443;453;17896;
0318509;Montluçon-1;3788;56;3844;
0318510;Montluçon-2;11939;465;12404;
0318511;Montluçon-3;10184;299;10483;
0318512;Montluçon-4;9742;273;10015;
0319013;Moulins-1;10858;373;11231;
0319014;Moulins-2;8806;190;8996;
0331017;Vichy-1;11951;177;12128;
0331018;Vichy-2;12215;180;12395;
0407004;Digne-les-Bains-1;10216;542;10758;
0407005;Digne-les-Bains-2;6244;327;6571;
0411207;Manosque-1;7868;108;7976;
0411208;Manosque-2;6940;205;7145;
0411209;Manosque-3;7525;346;7871;
0502302;Briançon-1;1901;55;1956;
0502303;Briançon-2;9724;270;9994;
0506106;Gap-1;10336;311;10647;
0506107;Gap-2;10696;589;11285;
0506108;Gap-3;10111;279;10390;
0506109;Gap-4;9752;413;10165;
0600401;Antibes-1;11071;123;11194;
0600402;Antibes-2;30632;275;30907;
0600403;Antibes-3;25577;465;26042;
0600425;Valbonne;5719;299;6018;
0602705;Cagnes-sur-Mer-1;42593;360;42953;
0602706;Cagnes-sur-Mer-2;8335;118;8453;
0602907;Cannes-1;32593;300;32893;
0602908;Cannes-2;41275;518;41793;
0603007;Cannes-1;14097;169;14266;
0603009;Le Cannet;27374;224;27598;
0606911;Grasse-1;20002;349;20351;
0606912;Grasse-2;30394;597;30991;
0608815;Nice-1;42912;397;43309;
0608816;Nice-2;47386;396;47782;
0608817;Nice-3;23267;225;23492;
0608818;Nice-4;42419;407;42826;
0608819;Nice-5;46147;326;46473;
0608820;Nice-6;41841;586;42427;
0608821;Nice-7;23433;134;23567;
0608822;Nice-8;38769;185;38954;
0608823;Nice-9;33843;306;34149;
0701001;Annonay-1;9584;391;9975;
0701002;Annonay-2;6761;220;6981;
0701903;Aubenas-1;6737;403;7140;
0701904;Aubenas-2;5435;358;5793;
0810504;Charleville-Mézières-1;10135;174;10309;
0810505;Charleville-Mézières-2;8886;179;9065;
0810506;Charleville-Mézières-3;14258;598;14856;
0810507;Charleville-Mézières-4;13149;192;13341;
0811514;Sedan-1;121;5;126;
0811519;Vouziers;457;8;465;
0840914;Sedan-1;5442;126;5568;
0840915;Sedan-2;5076;134;5210;
0840916;Sedan-3;5910;89;5999;
0849001;Attigny;314;6;320;
0849019;Vouziers;4026;143;4169;
0922507;Pamiers-1;5843;154;5997;
0922508;Pamiers-2;9832;316;10148;
1038712;Troyes-1;21013;345;21358;
1038713;Troyes-2;6913;72;6985;
1038714;Troyes-3;8815;380;9195;
1038715;Troyes-4;6388;29;6417;
1038716;Troyes-5;18523;350;18873;
1106902;Carcassonne-1;15026;490;15516;
1106903;Carcassonne-2;14187;501;14688;
1106904;Carcassonne-3;16818;343;17161;
1126211;Narbonne-1;21329;313;21642;
1126212;Narbonne-2;15079;430;15509;
1126213;Narbonne-3;18292;433;18725;
1214511;Millau-1;11237;469;11706;
1214512;Millau-2;10872;266;11138;
1220216;Rodez-1;11876;988;12864;
1220217;Rodez-2;10101;806;10907;
1220218;Rodez-Onet;2080;54;2134;
1300101;Aix-en-Provence-1;73146;2071;75217;
1300102;Aix-en-Provence-2;69336;1123;70459;
1320312;Marseille-1;5514;23;5537;
1320313;Marseille-2;43250;203;43453;
1320412;Marseille-1;24696;206;24902;
1320416;Marseille-5;16064;70;16134;
1320418;Marseille-7;7699;56;7755;
1320512;Marseille-1;6112;38;6150;
1320522;Marseille-11;40087;262;40349;
1320622;Marseille-11;24195;248;24443;
1320623;Marseille-12;18632;174;18806;
1320821;Marseille-10;28928;376;29304;
1320823;Marseille-12;25285;231;25516;
1320820;Marseille-9;26815;573;27388;
1320921;Marseille-10;27868;194;28062;
1320920;Marseille-9;48046;464;48510;
1321021;Marseille-10;19811;71;19882;
1321022;Marseille-11;12326;55;12381;
1321019;Marseille-8;24001;248;24249;
1321118;Marseille-7;14663;184;14847;
1321119;Marseille-8;42127;273;42400;
1321218;Marseille-7;57621;579;58200;
1321219;Marseille-8;3013;12;3025;
1321316;Marseille-5;19276;254;19530;
1321317;Marseille-6;72716;482;73198;
1321415;Marseille-4;30575;101;30676;
1321416;Marseille-5;32376;170;32546;
1321514;Marseille-3;45670;183;45853;
1321515;Marseille-4;30231;134;30365;
1310326;Salon-de-Provence-1;19359;240;19599;
1310327;Salon-de-Provence-2;26169;342;26511;
1411805;Caen-1;17688;292;17980;
1411806;Caen-2;20361;224;20585;
1411807;Caen-3;24771;957;25728;
1411808;Caen-4;26410;436;26846;
1411809;Caen-5;16124;260;16384;
1402701;Aunay-sur-Odon;4335;58;4393;
1402710;Condé-sur-Noireau;334;7;341;
1501402;Aurillac-1;5851;166;6017;
1501403;Aurillac-2;9271;829;10100;
1501404;Aurillac-3;10377;334;10711;
1514209;Neuvéglise;1371;28;1399;
1514212;Saint-Flour-2;375;15;390;
1502701;Arpajon-sur-Cère;462;10;472;
1502706;Maurs;321;4;325;
1518711;Saint-Flour-1;1728;122;1850;
1518712;Saint-Flour-2;4707;390;5097;
1601501;Angoulême-1;14828;419;15247;
1601502;Angoulême-2;13251;518;13769;
1601503;Angoulême-3;13661;736;14397;
1610211;Cognac-1;8630;187;8817;
1610212;Cognac-2;10195;263;10458;
1619206;Charente-Bonnieure;3192;57;3249;
1619210;Charente-Vienne;761;48;809;
1745718;Saint-Jean-d'Angély;274;2;276;
1745723;Surgères;847;15;862;
1730014;La Rochelle-1;26522;395;26917;
1730015;La Rochelle-2;25089;1020;26109;
1730016;La Rochelle-3;24124;705;24829;
1803303;Bourges-1;17780;505;18285;
1803304;Bourges-2;15341;194;15535;
1803305;Bourges-3;14587;553;15140;
1803306;Bourges-4;16843;786;17629;
1827918;Vierzon-1;15294;335;15629;
1827919;Vierzon-2;10609;203;10812;
1901002;Argentat;2874;119;2993;
1901014;Sainte-Fortunade;142;1;143;
1903103;Brive-la-Gaillarde-1;12389;376;12765;
1903104;Brive-la-Gaillarde-2;12770;445;13215;
1903105;Brive-la-Gaillarde-3;8340;109;8449;
1903106;Brive-la-Gaillarde-4;13417;356;13773;
2A00401;Ajaccio-1;16706;159;16865;
2A00402;Ajaccio-2;14083;220;14303;
2A00403;Ajaccio-3;17183;190;17373;
2A00404;Ajaccio-4;14128;157;14285;
2A00405;Ajaccio-5;8559;123;8682;
2A24706;Bavella;5960;110;6070;
2A24707;Grand Sud;6082;119;6201;
2B03301;Bastia-1;9284;179;9463;
2B03302;Bastia-2;12318;193;12511;
2B03303;Bastia-3;14635;92;14727;
2B03304;Bastia-4;9478;255;9733;
2123108;Dijon-1;25469;578;26047;
2123109;Dijon-2;28613;448;29061;
2123110;Dijon-3;24460;604;25064;
2123111;Dijon-4;28116;551;28667;
2123112;Dijon-5;25208;581;25789;
2123113;Dijon-6;25054;522;25576;
2209306;Lamballe;14362;419;14781;
2209317;Pléneuf-Val-André;2216;40;2256;
2227824;Saint-Brieuc-1;21908;774;22682;
