COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
DEPARR;Arrondissement;011;Belley;CHAR;4
DEPARR;Arrondissement;012;Bourg-en-Bresse;CHAR;4
DEPARR;Arrondissement;013;Gex;CHAR;4
DEPARR;Arrondissement;014;Nantua;CHAR;4
DEPARR;Arrondissement;021;Château-Thierry;CHAR;4
DEPARR;Arrondissement;022;Laon;CHAR;4
DEPARR;Arrondissement;023;Saint-Quentin;CHAR;4
DEPARR;Arrondissement;024;Soissons;CHAR;4
DEPARR;Arrondissement;025;Vervins;CHAR;4
DEPARR;Arrondissement;031;Montluçon;CHAR;4
DEPARR;Arrondissement;032;Moulins;CHAR;4
DEPARR;Arrondissement;033;Vichy;CHAR;4
DEPARR;Arrondissement;041;Barcelonnette;CHAR;4
DEPARR;Arrondissement;042;Castellane;CHAR;4
DEPARR;Arrondissement;043;Digne-les-Bains;CHAR;4
DEPARR;Arrondissement;044;Forcalquier;CHAR;4
DEPARR;Arrondissement;051;Briançon;CHAR;4
DEPARR;Arrondissement;052;Gap;CHAR;4
DEPARR;Arrondissement;061;Grasse;CHAR;4
DEPARR;Arrondissement;062;Nice;CHAR;4
DEPARR;Arrondissement;071;Largentière;CHAR;4
DEPARR;Arrondissement;072;Privas;CHAR;4
DEPARR;Arrondissement;073;Tournon-sur-Rhône;CHAR;4
DEPARR;Arrondissement;081;Charleville-Mézières;CHAR;4
DEPARR;Arrondissement;082;Rethel;CHAR;4
DEPARR;Arrondissement;083;Sedan;CHAR;4
DEPARR;Arrondissement;084;Vouziers;CHAR;4
DEPARR;Arrondissement;091;Foix;CHAR;4
DEPARR;Arrondissement;092;Pamiers;CHAR;4
DEPARR;Arrondissement;093;Saint-Girons;CHAR;4
DEPARR;Arrondissement;101;Bar-sur-Aube;CHAR;4
DEPARR;Arrondissement;102;Nogent-sur-Seine;CHAR;4
DEPARR;Arrondissement;103;Troyes;CHAR;4
DEPARR;Arrondissement;111;Carcassonne;CHAR;4
DEPARR;Arrondissement;112;Limoux;CHAR;4
DEPARR;Arrondissement;113;Narbonne;CHAR;4
DEPARR;Arrondissement;121;Millau;CHAR;4
DEPARR;Arrondissement;122;Rodez;CHAR;4
DEPARR;Arrondissement;123;Villefranche-de-Rouergue;CHAR;4
DEPARR;Arrondissement;131;Aix-en-Provence;CHAR;4
DEPARR;Arrondissement;132;Arles;CHAR;4
DEPARR;Arrondissement;134;Istres;CHAR;4
DEPARR;Arrondissement;133;Marseille;CHAR;4
DEPARR;Arrondissement;141;Bayeux;CHAR;4
DEPARR;Arrondissement;142;Caen;CHAR;4
DEPARR;Arrondissement;143;Lisieux;CHAR;4
DEPARR;Arrondissement;144;Vire;CHAR;4
DEPARR;Arrondissement;151;Aurillac;CHAR;4
DEPARR;Arrondissement;152;Mauriac;CHAR;4
DEPARR;Arrondissement;153;Saint-Flour;CHAR;4
DEPARR;Arrondissement;161;Angoulême;CHAR;4
DEPARR;Arrondissement;162;Cognac;CHAR;4
DEPARR;Arrondissement;163;Confolens;CHAR;4
DEPARR;Arrondissement;171;Jonzac;CHAR;4
DEPARR;Arrondissement;172;Rochefort;CHAR;4
DEPARR;Arrondissement;173;La Rochelle;CHAR;4
DEPARR;Arrondissement;174;Saintes;CHAR;4
DEPARR;Arrondissement;175;Saint-Jean-d'Angély;CHAR;4
DEPARR;Arrondissement;181;Bourges;CHAR;4
DEPARR;Arrondissement;182;Saint-Amand-Montrond;CHAR;4
DEPARR;Arrondissement;183;Vierzon;CHAR;4
DEPARR;Arrondissement;191;Brive-la-Gaillarde;CHAR;4
DEPARR;Arrondissement;192;Tulle;CHAR;4
DEPARR;Arrondissement;193;Ussel;CHAR;4
DEPARR;Arrondissement;2A1;Ajaccio;CHAR;4
DEPARR;Arrondissement;2A4;Sartène;CHAR;4
DEPARR;Arrondissement;2B2;Bastia;CHAR;4
DEPARR;Arrondissement;2B5;Calvi;CHAR;4
DEPARR;Arrondissement;2B3;Corte;CHAR;4
DEPARR;Arrondissement;211;Beaune;CHAR;4
DEPARR;Arrondissement;212;Dijon;CHAR;4
DEPARR;Arrondissement;213;Montbard;CHAR;4
DEPARR;Arrondissement;221;Dinan;CHAR;4
DEPARR;Arrondissement;222;Guingamp;CHAR;4
DEPARR;Arrondissement;223;Lannion;CHAR;4
DEPARR;Arrondissement;224;Saint-Brieuc;CHAR;4
DEPARR;Arrondissement;231;Aubusson;CHAR;4
DEPARR;Arrondissement;232;Guéret;CHAR;4
DEPARR;Arrondissement;241;Bergerac;CHAR;4
DEPARR;Arrondissement;242;Nontron;CHAR;4
DEPARR;Arrondissement;243;Périgueux;CHAR;4
DEPARR;Arrondissement;244;Sarlat-la-Canéda;CHAR;4
DEPARR;Arrondissement;251;Besançon;CHAR;4
DEPARR;Arrondissement;252;Montbéliard;CHAR;4
DEPARR;Arrondissement;253;Pontarlier;CHAR;4
DEPARR;Arrondissement;261;Die;CHAR;4
DEPARR;Arrondissement;262;Nyons;CHAR;4
DEPARR;Arrondissement;263;Valence;CHAR;4
DEPARR;Arrondissement;271;Les Andelys;CHAR;4
DEPARR;Arrondissement;272;Bernay;CHAR;4
