COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
DEPCOM;Code commune associée;01015;Arbignieu;CHAR;5
DEPCOM;Code commune associée;01025;Bâgé-la-Ville;CHAR;5
DEPCOM;Code commune associée;01033;Bellegarde-sur-Valserine;CHAR;5
DEPCOM;Code commune associée;01036;Belmont-Luthézieu;CHAR;5
DEPCOM;Code commune associée;01059;Brénaz;CHAR;5
DEPCOM;Code commune associée;01080;Champdor;CHAR;5
DEPCOM;Code commune associée;01091;Châtillon-en-Michaille;CHAR;5
DEPCOM;Code commune associée;01095;Chavannes-sur-Suran;CHAR;5
DEPCOM;Code commune associée;01097;Chavornay;CHAR;5
DEPCOM;Code commune associée;01098;Chazey-Bons;CHAR;5
DEPCOM;Code commune associée;01119;Corcelles;CHAR;5
DEPCOM;Code commune associée;01120;Cordieux;CHAR;5
DEPCOM;Code commune associée;01122;Cormaranche-en-Bugey;CHAR;5
DEPCOM;Code commune associée;01130;Cras-sur-Reyssouze;CHAR;5
DEPCOM;Code commune associée;01137;Cuisiat;CHAR;5
DEPCOM;Code commune associée;01144;Dommartin;CHAR;5
DEPCOM;Code commune associée;01154;Étrez;CHAR;5
DEPCOM;Code commune associée;01172;Germagnat;CHAR;5
DEPCOM;Code commune associée;01176;Grand-Abergement;CHAR;5
DEPCOM;Code commune associée;01182;Groslée;CHAR;5
DEPCOM;Code commune associée;01185;Hauteville-Lompnes;CHAR;5
DEPCOM;Code commune associée;01186;Hostiaz;CHAR;5
DEPCOM;Code commune associée;01187;Hotonnes;CHAR;5
DEPCOM;Code commune associée;01204;Lalleyriat;CHAR;5
DEPCOM;Code commune associée;01205;Lancrans;CHAR;5
DEPCOM;Code commune associée;01215;Lhôpital;CHAR;5
DEPCOM;Code commune associée;01218;Lochieu;CHAR;5
DEPCOM;Code commune associée;01221;Lompnieu;CHAR;5
DEPCOM;Code commune associée;01227;Magnieu;CHAR;5
DEPCOM;Code commune associée;01271;Nattages;CHAR;5
DEPCOM;Code commune associée;01286;Parves;CHAR;5
DEPCOM;Code commune associée;01292;Petit-Abergement;CHAR;5
DEPCOM;Code commune associée;01300;Poizat;CHAR;5
DEPCOM;Code commune associée;01312;Pressiat;CHAR;5
DEPCOM;Code commune associée;01316;Pugieu;CHAR;5
DEPCOM;Code commune associée;01324;Rignat;CHAR;5
DEPCOM;Code commune associée;01338;Saint-Benoît;CHAR;5
DEPCOM;Code commune associée;01340;Saint-Bois;CHAR;5
DEPCOM;Code commune associée;01341;Saint-Champ;CHAR;5
DEPCOM;Code commune associée;01409;Songieu;CHAR;5
DEPCOM;Code commune associée;01413;Surjoux;CHAR;5
DEPCOM;Code commune associée;01414;Sutrieu;CHAR;5
DEPCOM;Code commune associée;01417;Thézillieu;CHAR;5
DEPCOM;Code commune associée;01426;Treffort;CHAR;5
DEPCOM;Code commune associée;01442;Vieu;CHAR;5
DEPCOM;Code commune associée;01453;Virieu-le-Petit;CHAR;5
DEPCOM;Code commune associée;02018;Anizy-le-Château;CHAR;5
DEPCOM;Code commune associée;02026;Artonges;CHAR;5
DEPCOM;Code commune associée;02053;Baulne-en-Brie;CHAR;5
DEPCOM;Code commune associée;02147;Celle-sous-Montmirail;CHAR;5
DEPCOM;Code commune associée;02153;Cessières;CHAR;5
DEPCOM;Code commune associée;02161;Chapelle-Monthodon;CHAR;5
DEPCOM;Code commune associée;02285;Escaufourt;CHAR;5
DEPCOM;Code commune associée;02300;Fargniers;CHAR;5
DEPCOM;Code commune associée;02301;Faucoucourt;CHAR;5
DEPCOM;Code commune associée;02325;Fontenelle-en-Brie;CHAR;5
DEPCOM;Code commune associée;02348;Glennes;CHAR;5
DEPCOM;Code commune associée;02360;Guignicourt;CHAR;5
DEPCOM;Code commune associée;02434;Lizy;CHAR;5
DEPCOM;Code commune associée;02439;Longueval-Barbonval;CHAR;5
DEPCOM;Code commune associée;02458;Marchais-en-Brie;CHAR;5
DEPCOM;Code commune associée;02475;Menneville;CHAR;5
DEPCOM;Code commune associée;02479;Merval;CHAR;5
DEPCOM;Code commune associée;02597;Perles;CHAR;5
DEPCOM;Code commune associée;02630;Quessy;CHAR;5
DEPCOM;Code commune associée;02646;Révillon;CHAR;5
DEPCOM;Code commune associée;02669;Saint-Agnan;CHAR;5
DEPCOM;Code commune associée;02733;Suzy;CHAR;5
DEPCOM;Code commune associée;02771;Vauxcéré;CHAR;5
DEPCOM;Code commune associée;02811;Villers-en-Prayères;CHAR;5
DEPCOM;Code commune associée;02825;Vouël;CHAR;5
DEPCOM;Code commune associée;03123;Givarlais;CHAR;5
DEPCOM;Code commune associée;03153;Louroux-Hodement;CHAR;5
DEPCOM;Code commune associée;03158;Maillet;CHAR;5
DEPCOM;Code commune associée;03168;Meaulne;CHAR;5
DEPCOM;Code commune associée;03318;Vitray;CHAR;5
DEPCOM;Code commune associée;04003;Albiosc;CHAR;5
DEPCOM;Code commune associée;04010;Argens;CHAR;5
DEPCOM;Code commune associée;04011;Astoin;CHAR;5
DEPCOM;Code commune associée;04014;Augès;CHAR;5
DEPCOM;Code commune associée;04029;Blégiers;CHAR;5
DEPCOM;Code commune associée;04033;Bréole;CHAR;5
DEPCOM;Code commune associée;04052;Châteauneuf-lès-Moustiers;CHAR;5
DEPCOM;Code commune associée;04082;Esparron-la-Bâtie;CHAR;5
DEPCOM;Code commune associée;04100;Larche;CHAR;5
