COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
DEPCOMCAN;Fraction cantonale;0105305;Bourg-en-Bresse-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0105306;Bourg-en-Bresse-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0133804;Belley;CHAR;7
DEPCOMCAN;Fraction cantonale;0133811;Lagnieu;CHAR;7
DEPCOMCAN;Fraction cantonale;0240809;Laon-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0240810;Laon-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0269113;Saint-Quentin-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0269114;Saint-Quentin-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0269115;Saint-Quentin-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0272216;Soissons-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0272217;Soissons-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0318509;Montluçon-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0318510;Montluçon-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0318511;Montluçon-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0318512;Montluçon-4;CHAR;7
DEPCOMCAN;Fraction cantonale;0319013;Moulins-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0319014;Moulins-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0331017;Vichy-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0331018;Vichy-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0407004;Digne-les-Bains-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0407005;Digne-les-Bains-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0411207;Manosque-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0411208;Manosque-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0411209;Manosque-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0502302;Briançon-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0502303;Briançon-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0506106;Gap-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0506107;Gap-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0506108;Gap-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0506109;Gap-4;CHAR;7
DEPCOMCAN;Fraction cantonale;0600401;Antibes-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0600402;Antibes-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0600403;Antibes-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0600425;Valbonne;CHAR;7
DEPCOMCAN;Fraction cantonale;0602705;Cagnes-sur-Mer-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0602706;Cagnes-sur-Mer-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0602907;Cannes-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0602908;Cannes-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0603007;Cannes-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0603009;Le Cannet;CHAR;7
DEPCOMCAN;Fraction cantonale;0606911;Grasse-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0606912;Grasse-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0608815;Nice-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0608816;Nice-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0608817;Nice-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0608818;Nice-4;CHAR;7
DEPCOMCAN;Fraction cantonale;0608819;Nice-5;CHAR;7
DEPCOMCAN;Fraction cantonale;0608820;Nice-6;CHAR;7
DEPCOMCAN;Fraction cantonale;0608821;Nice-7;CHAR;7
DEPCOMCAN;Fraction cantonale;0608822;Nice-8;CHAR;7
DEPCOMCAN;Fraction cantonale;0608823;Nice-9;CHAR;7
DEPCOMCAN;Fraction cantonale;0701001;Annonay-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0701002;Annonay-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0701903;Aubenas-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0701904;Aubenas-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0810504;Charleville-Mézières-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0810505;Charleville-Mézières-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0810506;Charleville-Mézières-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0810507;Charleville-Mézières-4;CHAR;7
DEPCOMCAN;Fraction cantonale;0811514;Sedan-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0811519;Vouziers;CHAR;7
DEPCOMCAN;Fraction cantonale;0840914;Sedan-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0840915;Sedan-2;CHAR;7
DEPCOMCAN;Fraction cantonale;0840916;Sedan-3;CHAR;7
DEPCOMCAN;Fraction cantonale;0849001;Attigny;CHAR;7
DEPCOMCAN;Fraction cantonale;0849019;Vouziers;CHAR;7
DEPCOMCAN;Fraction cantonale;0922507;Pamiers-1;CHAR;7
DEPCOMCAN;Fraction cantonale;0922508;Pamiers-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1038712;Troyes-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1038713;Troyes-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1038714;Troyes-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1038715;Troyes-4;CHAR;7
DEPCOMCAN;Fraction cantonale;1038716;Troyes-5;CHAR;7
DEPCOMCAN;Fraction cantonale;1106902;Carcassonne-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1106903;Carcassonne-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1106904;Carcassonne-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1126211;Narbonne-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1126212;Narbonne-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1126213;Narbonne-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1214511;Millau-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1214512;Millau-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1220216;Rodez-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1220217;Rodez-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1220218;Rodez-Onet;CHAR;7
DEPCOMCAN;Fraction cantonale;1300101;Aix-en-Provence-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1300102;Aix-en-Provence-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1320312;Marseille-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1320313;Marseille-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1320412;Marseille-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1320416;Marseille-5;CHAR;7
DEPCOMCAN;Fraction cantonale;1320418;Marseille-7;CHAR;7
DEPCOMCAN;Fraction cantonale;1320512;Marseille-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1320522;Marseille-11;CHAR;7
DEPCOMCAN;Fraction cantonale;1320622;Marseille-11;CHAR;7
DEPCOMCAN;Fraction cantonale;1320623;Marseille-12;CHAR;7
DEPCOMCAN;Fraction cantonale;1320821;Marseille-10;CHAR;7
DEPCOMCAN;Fraction cantonale;1320823;Marseille-12;CHAR;7
DEPCOMCAN;Fraction cantonale;1320820;Marseille-9;CHAR;7
DEPCOMCAN;Fraction cantonale;1320921;Marseille-10;CHAR;7
DEPCOMCAN;Fraction cantonale;1320920;Marseille-9;CHAR;7
DEPCOMCAN;Fraction cantonale;1321021;Marseille-10;CHAR;7
DEPCOMCAN;Fraction cantonale;1321022;Marseille-11;CHAR;7
DEPCOMCAN;Fraction cantonale;1321019;Marseille-8;CHAR;7
DEPCOMCAN;Fraction cantonale;1321118;Marseille-7;CHAR;7
DEPCOMCAN;Fraction cantonale;1321119;Marseille-8;CHAR;7
DEPCOMCAN;Fraction cantonale;1321218;Marseille-7;CHAR;7
DEPCOMCAN;Fraction cantonale;1321219;Marseille-8;CHAR;7
DEPCOMCAN;Fraction cantonale;1321316;Marseille-5;CHAR;7
DEPCOMCAN;Fraction cantonale;1321317;Marseille-6;CHAR;7
DEPCOMCAN;Fraction cantonale;1321415;Marseille-4;CHAR;7
DEPCOMCAN;Fraction cantonale;1321416;Marseille-5;CHAR;7
DEPCOMCAN;Fraction cantonale;1321514;Marseille-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1321515;Marseille-4;CHAR;7
DEPCOMCAN;Fraction cantonale;1310326;Salon-de-Provence-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1310327;Salon-de-Provence-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1411805;Caen-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1411806;Caen-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1411807;Caen-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1411808;Caen-4;CHAR;7
DEPCOMCAN;Fraction cantonale;1411809;Caen-5;CHAR;7
DEPCOMCAN;Fraction cantonale;1402701;Aunay-sur-Odon;CHAR;7
DEPCOMCAN;Fraction cantonale;1402710;Condé-sur-Noireau;CHAR;7
DEPCOMCAN;Fraction cantonale;1501402;Aurillac-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1501403;Aurillac-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1501404;Aurillac-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1514209;Neuvéglise;CHAR;7
DEPCOMCAN;Fraction cantonale;1514212;Saint-Flour-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1502701;Arpajon-sur-Cère;CHAR;7
DEPCOMCAN;Fraction cantonale;1502706;Maurs;CHAR;7
DEPCOMCAN;Fraction cantonale;1518711;Saint-Flour-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1518712;Saint-Flour-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1601501;Angoulême-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1601502;Angoulême-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1601503;Angoulême-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1610211;Cognac-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1610212;Cognac-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1619206;Charente-Bonnieure;CHAR;7
DEPCOMCAN;Fraction cantonale;1619210;Charente-Vienne;CHAR;7
DEPCOMCAN;Fraction cantonale;1745718;Saint-Jean-d'Angély;CHAR;7
DEPCOMCAN;Fraction cantonale;1745723;Surgères;CHAR;7
DEPCOMCAN;Fraction cantonale;1730014;La Rochelle-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1730015;La Rochelle-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1730016;La Rochelle-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1803303;Bourges-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1803304;Bourges-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1803305;Bourges-3;CHAR;7
DEPCOMCAN;Fraction cantonale;1803306;Bourges-4;CHAR;7
DEPCOMCAN;Fraction cantonale;1827918;Vierzon-1;CHAR;7
DEPCOMCAN;Fraction cantonale;1827919;Vierzon-2;CHAR;7
DEPCOMCAN;Fraction cantonale;1901002;Argentat;CHAR;7
